Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,881.7,881.7,881.7,881.7
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,1247.2,1247.2,1247.2,1247.2
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,643.5,643.5,643.5,643.5
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,502.7,502.7,502.7,502.7
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,819.2,819.2,819.2,819.2
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,583.4,583.4,583.4,583.4
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,5,1,µg/kg,Acrylamide,Acrylamide,766.6,766.6,766.6,766.6
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,1286.8,1286.8,1286.8,1286.8
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,1063.8,1063.8,1063.8,1063.8
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,921,921,921,921
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,1042.6,1042.6,1042.6,1042.6
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,1166,1166,1166,1166
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,1109.2,1109.2,1109.2,1109.2
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,1229.1,1229.1,1229.1,1229.1
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,1025.6,1025.6,1025.6,1025.6
Biscuits sucrés ou salés et barres,pomme de terre chips salées,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,983,983,983,983
Pain et panification sèche,pain grillé,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,36.8,36.8,36.8,36.8
Pain et panification sèche,pain grillé,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,34.1,34.1,34.1,34.1
Pain et panification sèche,pain complet ou intégral,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,28.3,28.3,28.3,28.3
Pain et panification sèche,pain complet ou intégral,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,48.3,48.3,48.3,48.3
Pain et panification sèche,pain de mie,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,20.3,20.3,20.3,20.3
Pain et panification sèche,pain de mie,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,23.6,23.6,23.6,23.6
Pain et panification sèche,pain aux céréales,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,57.1,57.1,57.1,57.1
Pain et panification sèche,pain aux céréales,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,32.3,32.3,32.3,32.3
Viennoiserie,pain au chocolat,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,28.7,28.7,28.7,28.7
Viennoiserie,pain au chocolat,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,24,24,24,24
Compotes et fruits cuits,compote de pomme,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Compotes et fruits cuits,compote de pomme,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Compotes et fruits cuits,compote de fruits autres que pomme,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Compotes et fruits cuits,compote de fruits autres que pomme,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Café,café noir,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,37.5,37.5,37.5,37.5
Café,café noir,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,40.4,40.4,40.4,40.4
Café,café noir,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,34.1,34.1,34.1,34.1
Café,café soluble reconstitué prêt à boire,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,42.9,42.9,42.9,42.9
Café,café soluble reconstitué prêt à boire,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,102.7,102.7,102.7,102.7
Café,café soluble reconstitué prêt à boire,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Café,café soluble reconstitué prêt à boire,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,41.2,41.2,41.2,41.2
Café,café soluble reconstitué prêt à boire,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Café,café soluble reconstitué prêt à boire,R,2008,5,1,µg/kg,Acrylamide,Acrylamide,39.5,39.5,39.5,39.5
Café,café soluble reconstitué prêt à boire,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,184.4,184.4,184.4,184.4
Café,café soluble reconstitué prêt à boire,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,85.7,85.7,85.7,85.7
Café,café soluble reconstitué prêt à boire,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,245,245,245,245
Café,café soluble reconstitué prêt à boire,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Café,café soluble reconstitué prêt à boire,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,243.9,243.9,243.9,243.9
Café,café soluble reconstitué prêt à boire,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Café,café soluble reconstitué prêt à boire,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,29,29,29,29
Café,café soluble reconstitué prêt à boire,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Café,café soluble reconstitué prêt à boire,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,82.2,82.2,82.2,82.2
Autres boissons chaudes,boisson au chocolat,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,27.1,27.1,27.1,27.1
Autres boissons chaudes,boisson au chocolat,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,15.2,15.2,15.2,15.2
"Entremets, crèmes desserts et laits gélifiés",dessert au soja nature,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",dessert au soja nature,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Entremets, crèmes desserts et laits gélifiés",dessert au soja aux fruits,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",dessert au soja aux fruits,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",dessert au soja aromatisé au chocolat,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",dessert au soja aromatisé au chocolat,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Pâtisseries et gâteaux,gâteau au chocolat,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,53.9,53.9,53.9,53.9
Pâtisseries et gâteaux,gâteau au chocolat,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,42.4,42.4,42.4,42.4
Pâtisseries et gâteaux,cake aux fruits confits,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,24.8,24.8,24.8,24.8
Pâtisseries et gâteaux,cake aux fruits confits,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,15.8,15.8,15.8,15.8
Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,11.7,11.7,11.7,11.7
Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,10.7,10.7,10.7,10.7
Plats composés,hachis parmentier,R,2008,5,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,hachis parmentier,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,13.9,13.9,13.9,13.9
Plats composés,hachis parmentier,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,hachis parmentier,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,13.9,13.9,13.9,13.9
Plats composés,cordon bleu de volaille,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,29.4,29.4,29.4,29.4
Plats composés,cordon bleu de volaille,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,38.3,38.3,38.3,38.3
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,22.6,22.6,22.6,22.6
"Pizzas, quiches et pâtisseries salées",quiche lorraine,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,32.1,32.1,32.1,32.1
Poissons,poisson pané,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,16.5,16.5,16.5,16.5
Poissons,poisson pané,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,30,30,30,30
Poissons,poisson pané,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,25.4,25.4,25.4,25.4
Poissons,poisson pané,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2008,5,1,µg/kg,Acrylamide,Acrylamide,10.3,10.3,10.3,10.3
Poissons,poisson pané,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,18.4,18.4,18.4,18.4
Poissons,poisson pané,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,10.8,10.8,10.8,10.8
Poissons,poisson pané,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,13.4,13.4,13.4,13.4
Poissons,poisson pané,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,12.3,12.3,12.3,12.3
Poissons,poisson pané,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Poissons,poisson pané,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Chocolat,barre chocolatée biscuitée,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,92.2,92.2,92.2,92.2
Chocolat,barre chocolatée biscuitée,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,64.4,64.4,64.4,64.4
Chocolat,chocolat au lait,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,54.8,54.8,54.8,54.8
Chocolat,chocolat au lait,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,38.7,38.7,38.7,38.7
Chocolat,chocolat au lait aux fruits secs,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,68.5,68.5,68.5,68.5
Chocolat,chocolat au lait aux fruits secs,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,88.3,88.3,88.3,88.3
Chocolat,pâte à tartiner chocolatée,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,46.1,46.1,46.1,46.1
Volaille et gibier,dinde escalope,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Volaille et gibier,dinde escalope,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,46.2,46.2,46.2,46.2
Volaille et gibier,dinde escalope,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Volaille et gibier,dinde escalope,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,26.3,26.3,26.3,26.3
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,32.5,32.5,32.5,32.5
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Pain et panification sèche,biscotte,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,65.9,65.9,65.9,65.9
Pain et panification sèche,biscotte,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,55.1,55.1,55.1,55.1
Pain et panification sèche,baguette,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Pain et panification sèche,baguette,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,11.6,11.6,11.6,11.6
Pain et panification sèche,pain de campagne,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,30.1,30.1,30.1,30.1
Pain et panification sèche,pain de campagne,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,31.3,31.3,31.3,31.3
Céréales pour petit déjeuner,céréales au chocolat,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,15.3,15.3,15.3,15.3
Céréales pour petit déjeuner,céréales au chocolat,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
Céréales pour petit déjeuner,muesli,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,12.3,12.3,12.3,12.3
Céréales pour petit déjeuner,muesli,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,11.6,11.6,11.6,11.6
Céréales pour petit déjeuner,pétales de maïs,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,26.7,26.7,26.7,26.7
Céréales pour petit déjeuner,pétales de maïs,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,29.2,29.2,29.2,29.2
Viennoiserie,croissant,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,19.6,19.6,19.6,19.6
Viennoiserie,croissant,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,22.5,22.5,22.5,22.5
Viennoiserie,brioche et pain brioché,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,22.6,22.6,22.6,22.6
Viennoiserie,brioche et pain brioché,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,15.7,15.7,15.7,15.7
Biscuits sucrés ou salés et barres,biscuit apéritif,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,1001.3,1001.3,1001.3,1001.3
Biscuits sucrés ou salés et barres,biscuit apéritif,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,393.8,393.8,393.8,393.8
Biscuits sucrés ou salés et barres,biscuit sec au chocolat,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,233,233,233,233
Biscuits sucrés ou salés et barres,biscuit sec au chocolat,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,192.5,192.5,192.5,192.5
Biscuits sucrés ou salés et barres,biscuit sec,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,194.6,194.6,194.6,194.6
Biscuits sucrés ou salés et barres,biscuit sec,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,191.3,191.3,191.3,191.3
Pâtisseries et gâteaux,moelleux au chocolat,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,18.1,18.1,18.1,18.1
Pâtisseries et gâteaux,moelleux au chocolat,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,12.3,12.3,12.3,12.3
Pâtisseries et gâteaux,gateau moelleux fourré ou non,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,17,17,17,17
Pâtisseries et gâteaux,gateau moelleux fourré ou non,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,23.1,23.1,23.1,23.1
Pâtisseries et gâteaux,"chou, chouquette",N,2007,99,1,µg/kg,Acrylamide,Acrylamide,18.2,18.2,18.2,18.2
Pâtisseries et gâteaux,"chou, chouquette",N,2008,99,2,µg/kg,Acrylamide,Acrylamide,17.6,17.6,17.6,17.6
Pâtisseries et gâteaux,crêpe ou gaufre,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,23.6,23.6,23.6,23.6
Pâtisseries et gâteaux,crêpe ou gaufre,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,22.8,22.8,22.8,22.8
Pâtisseries et gâteaux,gâteau,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,36.2,36.2,36.2,36.2
Pâtisseries et gâteaux,gâteau,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,24.6,24.6,24.6,24.6
Pâtisseries et gâteaux,tarte ou tartelette,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,30.8,30.8,30.8,30.8
Pâtisseries et gâteaux,tarte ou tartelette,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,30,30,30,30
Volaille et gibier,poulet,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Volaille et gibier,poulet,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,649.4,649.4,649.4,649.4
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,595.6,595.6,595.6,595.6
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,339.2,339.2,339.2,339.2
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,600.4,600.4,600.4,600.4
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,530.7,530.7,530.7,530.7
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,770.2,770.2,770.2,770.2
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,5,1,µg/kg,Acrylamide,Acrylamide,797.6,797.6,797.6,797.6
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,588.5,588.5,588.5,588.5
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,591.4,591.4,591.4,591.4
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,527.9,527.9,527.9,527.9
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,1193.3,1193.3,1193.3,1193.3
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,1010.1,1010.1,1010.1,1010.1
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,1583.7,1583.7,1583.7,1583.7
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,209.9,209.9,209.9,209.9
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2009,5,2,µg/kg,Acrylamide,Acrylamide,1186.1,1186.1,1186.1,1186.1
Pommes de terre et apparentés,pomme de terre sautée ou frite,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,411.5,411.5,411.5,411.5
Chocolat,chocolat noir,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,171.5,171.5,171.5,171.5
Chocolat,chocolat noir,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,95.9,95.9,95.9,95.9
Autres boissons chaudes,boisson au chocolat,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,21,21,21,21
Autres boissons chaudes,boisson au chocolat,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,24.5,24.5,24.5,24.5
Autres boissons chaudes,boisson au chocolat,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,23.6,23.6,23.6,23.6
Autres boissons chaudes,boisson au chocolat,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,14.1,14.1,14.1,14.1
Autres boissons chaudes,boisson au chocolat,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,29.4,29.4,29.4,29.4
Autres boissons chaudes,boisson au chocolat,R,2008,7,2,µg/kg,Acrylamide,Acrylamide,24,24,24,24
Autres boissons chaudes,boisson au chocolat,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,30,30,30,30
Autres boissons chaudes,boisson au chocolat,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,16.5,16.5,16.5,16.5
Autres boissons chaudes,boisson au chocolat,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,20.8,20.8,20.8,20.8
Autres boissons chaudes,boisson au chocolat,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,14.9,14.9,14.9,14.9
Autres boissons chaudes,boisson au chocolat,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,25.7,25.7,25.7,25.7
Autres boissons chaudes,boisson au chocolat,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,17.9,17.9,17.9,17.9
"Pizzas, quiches et pâtisseries salées",pizza,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,28.7,28.7,28.7,28.7
"Pizzas, quiches et pâtisseries salées",pizza,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,80.5,80.5,80.5,80.5
"Sandwiches, casse-croûte",hamburger,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,11.6,11.6,11.6,11.6
"Sandwiches, casse-croûte",hamburger,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,16.4,16.4,16.4,16.4
"Sandwiches, casse-croûte",hamburger,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",hamburger,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",hamburger,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",hamburger,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,34.2,34.2,34.2,34.2
"Sandwiches, casse-croûte",sandwich,R,2007,7,1,µg/kg,Acrylamide,Acrylamide,20.9,20.9,20.9,20.9
"Sandwiches, casse-croûte",sandwich,R,2007,34,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2008,6,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",sandwich,R,2008,9,1,µg/kg,Acrylamide,Acrylamide,36,36,36,36
"Sandwiches, casse-croûte",sandwich,R,2008,9,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
"Sandwiches, casse-croûte",sandwich,R,2008,34,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Sandwiches, casse-croûte",sandwich,R,2009,6,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2007,1,1,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2008,1,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2008,2,1,µg/kg,Acrylamide,Acrylamide,12.6,12.6,12.6,12.6
Plats composés,pâtes fourrées type ravioli,R,2008,2,2,µg/kg,Acrylamide,Acrylamide,NQ,10.0,10.0,5.0
Plats composés,pâtes fourrées type ravioli,R,2008,8,1,µg/kg,Acrylamide,Acrylamide,16.5,16.5,16.5,16.5
Plats composés,pâtes fourrées type ravioli,R,2008,8,2,µg/kg,Acrylamide,Acrylamide,14.9,14.9,14.9,14.9
"Entremets, crèmes desserts et laits gélifiés",crème dessert,N,2007,99,1,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
"Entremets, crèmes desserts et laits gélifiés",crème dessert,N,2008,99,2,µg/kg,Acrylamide,Acrylamide,ND,0,4.0,2.0
